Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
PRIUS PRIME (PHEV),JTDKARFP4J,Snohomish,Lake Stevens,53061052607,WA,POINT (-122.06402 48.01497)
MODEL 3,5YJ3E1EA0P,King,Issaquah,53033032220,WA,POINT (-122.01656 47.57118)
BOLT EUV,1G1FY6S03P,Clark,La Center,53011040203,WA,POINT (-122.67248 45.86156)
PACIFICA,2C4RC1N73K,Kitsap,Bremerton,53035092000,WA,POINT (-122.65223 47.57192)
MODEL Y,7SAYGDEE9P,King,Bellevue,53033023300,WA,POINT (-122.11867 47.63131)
MODEL 3,5YJ3E1ET0R,King,Renton,53033025303,WA,POINT (-122.20489 47.47532)
MODEL 3,5YJ3E1EB9P,King,Kirkland,53033022701,WA,POINT (-122.2066 47.67887)
LYRIQ,1GYKPRRL7S,King,Shoreline,53033020200,WA,POINT (-122.33364 47.73709)
VOLT,1G1RD6E45E,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
BZ4X,JTMABACA9R,King,Seattle,53033002900,WA,POINT (-122.38418 47.70044)
MODEL 3,5YJ3E1EB1J,Clark,Vancouver,53011040812,WA,POINT (-122.62731 45.71668)
MUSTANG MACH-E,3FMTK3SU9P,Thurston,Olympia,53067010400,WA,POINT (-122.89165 47.03954)
MODEL 3,5YJ3E1EA5L,King,Shoreline,53033020800,WA,POINT (-122.37238 47.74068)
I4,WBY33AW02R,King,Kirkland,53033022701,WA,POINT (-122.2066 47.67887)
PROLOGUE,3GPKHVRJXR,King,Seattle,53033007202,WA,POINT (-122.34468 47.61578)
IONIQ 5,7YAKRDDCXT,Clark,Vancouver,53011041309,WA,POINT (-122.49212 45.60365)
MODEL 3,5YJ3E1EA2R,King,Shoreline,53033020302,WA,POINT (-122.33364 47.73709)
LYRIQ,1GYKPURL9S,King,Kent,53033029603,WA,POINT (-122.19976 47.37483)
LEAF,1N4AZ1CP1J,King,Duvall,53033032401,WA,POINT (-121.98609 47.74068)
POLESTAR 2,LPSED3KA5M,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EB1J,King,Kirkland,53033022300,WA,POINT (-122.22901 47.72201)
BLAZER,3GNKDHRK1R,Kitsap,Poulsbo,53035940000,WA,POINT (-122.64681 47.73689)
MODEL 3,5YJ3E1EB5N,King,Bothell,53033022001,WA,POINT (-122.20563 47.76144)
ARIYA HATCHBACK,JN1BF0BA4P,King,Renton,53033025304,WA,POINT (-122.18839 47.51197)
MODEL 3,5YJ3E1EBXT,Kitsap,Poulsbo,53035090201,WA,POINT (-122.64681 47.73689)
OPTIQ,3GYK3DMR3S,King,Renton,53033025602,WA,POINT (-122.11589 47.50243)
ZEVO,2G5ZJ3TY5R,King,Kirkland,53033022501,WA,POINT (-122.2066 47.67887)
MUSTANG MACH-E,3FMTK4SE6N,Kitsap,Port Orchard,53035092300,WA,POINT (-122.63848 47.5414)
R1S,7PDSGABA1P,King,Seattle,53033000500,WA,POINT (-122.37238 47.74068)
LEAF,1N4AZ1CP3K,Clark,Vancouver,53011040709,WA,POINT (-122.57722 45.64251)
MODEL Y,7SAYGDED7T,Kitsap,Poulsbo,53035091100,WA,POINT (-122.64681 47.73689)
F-150,1FTVW1EL3P,King,Seattle,53033009300,WA,POINT (-122.32741 47.58616)
MODEL S,5YJSA1H19E,King,Kent,53033029408,WA,POINT (-122.17743 47.41185)
MODEL 3,5YJ3E1EB9N,King,Redmond,53033032325,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE9P,Clark,Vancouver,53011041330,WA,POINT (-122.55149 45.69345)
MODEL 3,5YJ3E1EA0P,King,Bellevue,53033023805,WA,POINT (-122.1872 47.61001)
MODEL X,7SAXCBE58R,King,Issaquah,53033032104,WA,POINT (-122.03439 47.5301)
BZ,JTMBDAFB1T,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
R1S,7PDSGBBA4R,King,Sammamish,53033032213,WA,POINT (-122.03539 47.61344)
PACIFICA,2C4RC1N77K,King,Federal Way,53033030102,WA,POINT (-122.36217 47.31011)
MODEL 3,5YJ3E1EA2L,King,Newcastle,53033024703,WA,POINT (-122.18839 47.51197)
KONA,KM8K23AG5P,King,Kenmore,53033022102,WA,POINT (-122.24369 47.75892)
MODEL 3,5YJ3E1EA5S,King,Seattle,53033004401,WA,POINT (-122.31676 47.68156)
IONIQ 5,KM8KR4DE3R,King,Seattle,53033002900,WA,POINT (-122.38418 47.70044)
MODEL 3,5YJ3E1EB3J,King,Seattle,53033011901,WA,POINT (-122.25031 47.49481)
BOLT EV,1G1FX6S00P,King,Seattle,53033003302,WA,POINT (-122.38591 47.67597)
NX,JTJHKCFZ1N,King,Seattle,53033000900,WA,POINT (-122.30253 47.72656)
LEAF,1N4BZ0CP2H,King,Kent,53033029306,WA,POINT (-122.17743 47.41185)
RAV4 PRIME (PHEV),JTMEB3FV0R,King,Seattle,53033003500,WA,POINT (-122.35436 47.67596)
LEAF,1N4AZ1BPXL,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
MODEL 3,5YJ3E1EA2J,King,Seattle,53033001702,WA,POINT (-122.37238 47.74068)
IONIQ 5,KM8KNDDFXR,King,Seattle,53033000500,WA,POINT (-122.37238 47.74068)
MODEL Y,7SAYGDED7T,King,Seattle,53033001100,WA,POINT (-122.30253 47.72656)
PACIFICA,2C4RC1S75P,King,Tukwila,53033026200,WA,POINT (-122.29411 47.48924)
RAV4 PRIME (PHEV),JTMAB3FV0P,Clark,Vancouver,53011041900,WA,POINT (-122.67156 45.63248)
MODEL Y,5YJYGDEEXM,King,Renton,53033025704,WA,POINT (-122.20489 47.47532)
MODEL Y,7SAYGAEE0R,Snohomish,Everett,53061041901,WA,POINT (-122.27557 47.88936)
E-TRON,WA1VAAGE7K,Clark,Vancouver,53011041320,WA,POINT (-122.48723 45.63701)
MODEL Y,7SAYGAEE0P,King,Kirkland,53033022604,WA,POINT (-122.2066 47.67887)
MODEL 3,5YJ3E1EA1K,King,Bellevue,53033023805,WA,POINT (-122.1872 47.61001)
CX-90,JM3KKEHA1R,King,Kirkland,53033022006,WA,POINT (-122.2066 47.67887)
PACIFICA,2C4RC1L71N,King,Bellevue,53033023000,WA,POINT (-122.11867 47.63131)
MODEL Y,7SAYGDEE6P,King,Shoreline,53033020500,WA,POINT (-122.30304 47.75494)
R1S,7PDSGABA6P,King,Bothell,53033021905,WA,POINT (-122.20563 47.76144)
MODEL Y,7SAYGDEE1R,King,Sammamish,53033032317,WA,POINT (-122.02054 47.60326)
IONIQ 5,KM8KRDAFXP,Clark,Vancouver,53011041208,WA,POINT (-122.59219 45.62158)
MUSTANG MACH-E,3FMTK3SUXS,King,Duvall,53033032401,WA,POINT (-121.98609 47.74068)
MODEL 3,5YJ3E1EC4P,King,Kirkland,53033022401,WA,POINT (-122.2066 47.67887)
CX-90,JM3KKEHA1R,King,Renton,53033029309,WA,POINT (-122.19488 47.44034)
MODEL Y,7SAYGDEE7T,Clark,Vancouver,53011040703,WA,POINT (-122.57722 45.64251)
PROLOGUE,3GPKHZRJ1R,King,Kent,53033029407,WA,POINT (-122.17743 47.41185)
MODEL 3,5YJ3E1EA2S,King,Normandy Park,53033028600,WA,POINT (-122.34731 47.45207)
C-MAX,1FADP5CU6G,Stevens,Colville,53065950500,WA,POINT (-117.90454 48.54657)
SPORTAGE,KNDPYDAH8P,Clark,Camas,53011040608,WA,POINT (-122.40177 45.58705)
TRANSIT,1FTBW9CK7N,Snohomish,Arlington,53061052803,WA,POINT (-122.1264 48.19471)
VOLT,1G1RH6E49E,King,Bellevue,53033023901,WA,POINT (-122.1872 47.61001)
Q4,WA1LUBFZ7S,King,Seattle,53033008300,WA,POINT (-122.34223 47.61085)
R1S,7PDSGCBA6T,King,Duvall,53033032401,WA,POINT (-121.98609 47.74068)
IONIQ 5,KM8KNDAF0P,Thurston,Olympia,53067010802,WA,POINT (-122.89165 47.03954)
MODEL S,5YJSA1CG1D,King,Federal Way,53033030101,WA,POINT (-122.36217 47.31011)
MODEL Y,7SAYGDEE8P,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
MODEL S,5YJSA1E51M,Yakima,Yakima,53077002804,WA,POINT (-120.60272 46.59656)
SOUL,KNDJP3AE3G,Clark,Camas,53011041400,WA,POINT (-122.40177 45.58705)
MODEL Y,7SAYGDEE8T,King,Bellevue,53033023805,WA,POINT (-122.1872 47.61001)
MODEL S,5YJSA1S19E,King,Kirkland,53033022501,WA,POINT (-122.2066 47.67887)
XC90,YV4BR0CK5M,Island,Coupeville,53029971000,WA,POINT (-122.68558 48.21857)
LEAF,1N4BZ1DV1M,Kitsap,Poulsbo,53035090400,WA,POINT (-122.64681 47.73689)
MODEL 3,5YJ3E1ET9R,Clark,Vancouver,53011040803,WA,POINT (-122.62731 45.71668)
EV9,KNDAFFS55R,King,Bellevue,53033024904,WA,POINT (-122.12096 47.55584)
SPORTAGE,KNDPZDDH4S,Clark,Vancouver,53011040709,WA,POINT (-122.57722 45.64251)
MODEL X,7SAXCDE56P,King,Medina,53033024002,WA,POINT (-122.23892 47.61613)
FORTWO ELECTRIC DRIVE,WMEEJ9AA6F,King,Redmond,53033022605,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEEXT,Snohomish,Lynnwood,53061051916,WA,POINT (-122.29245 47.82557)
MODEL Y,7SAYGDEE8R,King,Redmond,53033022606,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE6T,King,Kirkland,53033021905,WA,POINT (-122.22901 47.72201)
MODEL Y,7SAYGDET0T,King,Bellevue,53033023603,WA,POINT (-122.1621 47.64441)
MODEL Y,7SAYGDEE6P,King,Bellevue,53033023805,WA,POINT (-122.1872 47.61001)
PROLOGUE,3GPKHZRJ4S,King,Kent,53033029407,WA,POINT (-122.17743 47.41185)
ARIYA HATCHBACK,JN1AF0BA3R,King,Shoreline,53033020301,WA,POINT (-122.33364 47.73709)
MODEL Y,7SAYGDEE6T,King,Sammamish,53033032215,WA,POINT (-122.03539 47.61344)
R1S,7PDSGCBP2S,Kitsap,Bainbridge Island,53035090700,WA,POINT (-122.521 47.62759)
WRANGLER,1C4JJXP69M,King,Bellevue,53033025007,WA,POINT (-122.12096 47.55584)
BOLT EV,1G1FW6S03J,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
AIR,50EA1TEA3P,Kitsap,Bainbridge Island,53035090902,WA,POINT (-122.521 47.62759)
BOLT EV,1G1FZ6S0XK,King,Des Moines,53033029001,WA,POINT (-122.30615 47.38542)
C-MAX,1FADP5EU9H,King,Issaquah,53033025006,WA,POINT (-122.03439 47.5301)
MODEL Y,7SAYGDED9R,King,Bothell,53033022102,WA,POINT (-122.20563 47.76144)
MODEL Y,7SAYGDEE8T,King,Bothell,53033022001,WA,POINT (-122.20563 47.76144)
I4,WBY73AW05P,King,Seattle,53033007302,WA,POINT (-122.34223 47.61085)
BRIGHTDROP,2G5ZJ2TZ7S,King,Redmond,53033032325,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE3R,Snohomish,Bothell,53061051918,WA,POINT (-122.18384 47.8031)
BOLT EV,1G1FY6S07K,King,Kirkland,53033022003,WA,POINT (-122.22901 47.72201)
IONIQ 6,KMHM34AC5S,King,Seattle,53033008600,WA,POINT (-122.31009 47.60803)
MODEL Y,7SAYGDEF8N,Clark,Camas,53011041500,WA,POINT (-122.40177 45.58705)
S60,7JRH60FL9R,King,Seattle,53033006200,WA,POINT (-122.30207 47.64085)
MODEL 3,5YJ3E1EC7M,King,Kirkland,53033022003,WA,POINT (-122.22901 47.72201)
MODEL 3,5YJ3E1EBXK,King,Kirkland,53033022501,WA,POINT (-122.2066 47.67887)
X5,5UX43EU03S,King,Seattle,53033001202,WA,POINT (-122.30253 47.72656)
PRIUS PRIME (PHEV),JTDKARFP1H,King,Seattle,53033001400,WA,POINT (-122.33364 47.73709)
MODEL S,5YJSA1DN0C,Yakima,Toppenish,53077940006,WA,POINT (-120.31298 46.37508)
LEAF,JN1AZ0CP5B,Jefferson,Port Townsend,53031950602,WA,POINT (-122.77263 48.1212)
BOLT,1G1FZ6EV9V,King,Seattle,53033009400,WA,POINT (-122.30866 47.57874)
LEAF,1N4AZ0CP1F,King,Seattle,53033001202,WA,POINT (-122.30253 47.72656)
MODEL Y,7SAYGDEE8S,Clark,Vancouver,53011041329,WA,POINT (-122.49212 45.60365)
RAV4 PRIME (PHEV),JTMFB3FV3N,King,Kirkland,53033022402,WA,POINT (-122.2066 47.67887)
ARIYA MPV,JN8AF0BE9S,King,Seattle,53033002200,WA,POINT (-122.30253 47.72656)
PACIFICA,2C4RC1L77P,King,Redmond,53033022803,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE3R,King,Kirkland,53033022006,WA,POINT (-122.2066 47.67887)
LEAF,1N4AZ0CP2E,Kitsap,Poulsbo,53035090502,WA,POINT (-122.64681 47.73689)
MODEL S,5YJSA1E21J,King,Newcastle,53033025005,WA,POINT (-122.11589 47.50243)
EQUINOX,3GN7DLRR1R,Clark,Vancouver,53011040703,WA,POINT (-122.57722 45.64251)
CAYENNE,WP1AE2A25H,King,Renton,53033025303,WA,POINT (-122.20489 47.47532)
X3,5UXTS1C00L,King,Kirkland,53033022702,WA,POINT (-122.2066 47.67887)
I4,WBY33AW02P,Clark,Vancouver,53011041334,WA,POINT (-122.55149 45.69345)
NIRO,KNDCT3L16R,King,Seattle,53033006300,WA,POINT (-122.30207 47.64085)
X5,5UXTA6C04N,King,Beaux Arts,53033023901,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EA8T,Clark,Ridgefield,53011040305,WA,POINT (-122.74595 45.81539)
XC40,YV4ED3UR0M,King,Seattle,53033000602,WA,POINT (-122.33364 47.73709)
E-GOLF,WVWKP7AU2G,King,Burien,53033027901,WA,POINT (-122.34731 47.45207)
MODEL Y,7SAYGDEE1T,King,Bothell,53033022001,WA,POINT (-122.20563 47.76144)
SOLTERRA,JTMABABA7P,Clark,Vancouver,53011041328,WA,POINT (-122.49212 45.60365)
MODEL 3,5YJ3E1EA9R,King,Seattle,53033006400,WA,POINT (-122.30207 47.64085)
SOUL,KNDJX3AE7J,King,Shoreline,53033020600,WA,POINT (-122.30304 47.75494)
SOLTERRA,JTMABABA5R,Kitsap,Bainbridge Island,53035090700,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EA9M,Clark,Vancouver,53011041008,WA,POINT (-122.64443 45.67871)
CLARITY,JHMZC5F11J,Clark,Battle Ground,53011040408,WA,POINT (-122.5331 45.78092)
MACAN,WP1AA2XA9R,King,Kirkland,53033022703,WA,POINT (-122.2066 47.67887)
MODEL Y,7SAYGDED1R,Snohomish,Lake Stevens,53061052605,WA,POINT (-122.06402 48.01497)
LEAF,1N4BZ1BV6N,Clark,Vancouver,53011041208,WA,POINT (-122.59219 45.62158)
MODEL X,7SAXCAE54R,King,Redmond,53033032321,WA,POINT (-122.13158 47.67858)
RAV4 PRIME (PHEV),JTMEB3FVXS,Kitsap,Silverdale,53035091205,WA,POINT (-122.69275 47.65171)
MODEL Y,7SAYGAEE2N,Snohomish,Stanwood,53061053302,WA,POINT (-122.37265 48.24159)
POLESTAR 2,LPSED3KA6M,King,Shoreline,53033020401,WA,POINT (-122.30304 47.75494)
EQE-CLASS SUV,4JGGM1CB4P,King,Newcastle,53033025005,WA,POINT (-122.11589 47.50243)
MODEL 3,5YJ3E1EA7J,King,Bellevue,53033023603,WA,POINT (-122.12056 47.61334)
X5,5UXTA6C0XP,Snohomish,Lynnwood,53061051931,WA,POINT (-122.29245 47.82557)
MODEL Y,7SAYGAEE1P,King,Bellevue,53033024901,WA,POINT (-122.12096 47.55584)
FORTWO ELECTRIC DRIVE,WMEEJ9AA9D,Thurston,Olympia,53067010600,WA,POINT (-122.92018 47.04575)
MODEL X,7SAXCBE58P,King,Bellevue,53033023901,WA,POINT (-122.1872 47.61001)
LEAF,1N4AZ1CP1K,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
MODEL 3,5YJ3E1EA7P,Clark,Vancouver,53011040806,WA,POINT (-122.57722 45.64251)
XC60,YV4H60RM4S,King,Mercer Island,53033024302,WA,POINT (-122.21238 47.57816)
MODEL 3,5YJ3E1EB4L,Clark,Ridgefield,53011040403,WA,POINT (-122.74595 45.81539)
Q5 E,WA1E2AFY6R,King,Bellevue,53033023806,WA,POINT (-122.1872 47.61001)
XC90,YV4H600N0P,King,Lake Forest Park,53033021500,WA,POINT (-122.30304 47.75494)
MODEL 3,5YJ3E1EA3P,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
X5,5UXTA6C08N,King,Seattle,53033000900,WA,POINT (-122.30253 47.72656)
MODEL Y,7SAYGDEFXN,King,Seattle,53033000602,WA,POINT (-122.33364 47.73709)
EV6,KNDC3DLC3N,Clark,Vancouver,53011040803,WA,POINT (-122.62731 45.71668)
E-TRON,WA1ACBGEXN,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
MODEL 3,5YJ3E1EBXJ,Yakima,Yakima,53077000903,WA,POINT (-120.60272 46.59656)
WRANGLER,1C4RJXN62R,King,Seattle,53033008401,WA,POINT (-122.34223 47.61085)
PROLOGUE,3GPKHXRJ3R,King,Seattle,53033006800,WA,POINT (-122.34845 47.63283)
MODEL Y,7SAYGDEE4T,Island,Oak Harbor,53029970500,WA,POINT (-122.64682 48.29077)
Q4,WA1M2BFZ7P,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
CYBERTRUCK,7G2CEHEEXR,King,Seattle,53033000601,WA,POINT (-122.30253 47.72656)
RAV4 PRIME (PHEV),JTMFB3FV1R,Kitsap,Bainbridge Island,53035090700,WA,POINT (-122.521 47.62759)
MODEL Y,7SAYGDEDXP,King,Seattle,53033000700,WA,POINT (-122.30253 47.72656)
ID.4,1V2GNPE82P,King,Shoreline,53033020200,WA,POINT (-122.37238 47.74068)
MODEL Y,7SAYGDEE0P,King,Sammamish,53033032318,WA,POINT (-122.02054 47.60326)
LEAF,1N4AZ0CP0F,King,Kirkland,53033022401,WA,POINT (-122.2066 47.67887)
LEAF,1N4BZ1CV3N,King,Seattle,53033006300,WA,POINT (-122.30207 47.64085)
MODEL 3,5YJ3E1EB2L,King,Seattle,53033000900,WA,POINT (-122.30253 47.72656)
R1S,7PDSGBBA5S,King,Kirkland,53033022603,WA,POINT (-122.2066 47.67887)
ESCAPE,1FMCU0E15R,King,Bellevue,53033023801,WA,POINT (-122.1872 47.61001)
Q4,WA1LUBFZ6R,King,Seattle,53033004600,WA,POINT (-122.35436 47.67596)
MODEL Y,5YJYGDEE0M,King,Issaquah,53033032221,WA,POINT (-122.01656 47.57118)
MODEL Y,7SAYGDEEXP,King,Kirkland,53033022005,WA,POINT (-122.22901 47.72201)
R1S,7PDSGABA8P,King,Bellevue,53033025008,WA,POINT (-122.12096 47.55584)
X5,5UXTA6C0XM,King,Lake Forest Park,53033021300,WA,POINT (-122.30304 47.75494)
MODEL S,5YJSA1E28M,King,Shoreline,53033020600,WA,POINT (-122.33364 47.73709)
FORTWO,WMEEJ9AA0G,Kitsap,Bremerton,53035080300,WA,POINT (-122.61136 47.5752)
BOLT EV,1G1FX6S01H,King,Seattle,53033004600,WA,POINT (-122.35436 47.67596)
MODEL Y,7SAYGDEE7S,King,Shoreline,53033020301,WA,POINT (-122.33364 47.73709)
EV9,KNDAEFS56S,King,Seattle,53033000800,WA,POINT (-122.30253 47.72656)
RAV4 PRIME (PHEV),JTMAB3FV4R,King,Seattle,53033009600,WA,POINT (-122.41067 47.57894)
MODEL Y,7SAYGAEEXR,Thurston,Yelm,53067012422,WA,POINT (-122.60735 46.94239)
PRIUS PRIME (PHEV),JTDKARFP3J,King,Kirkland,53033021903,WA,POINT (-122.22901 47.72201)
MODEL 3,5YJ3E1EB6J,King,Kirkland,53033022604,WA,POINT (-122.2066 47.67887)
MODEL 3,5YJ3E1EA0K,Clark,Battle Ground,53011040414,WA,POINT (-122.5331 45.78092)
R1T,7FCTGAAA3P,Kitsap,Seabeck,53035091301,WA,POINT (-122.81585 47.64509)
F-150,1FTVW5L75R,King,Kenmore,53033021702,WA,POINT (-122.24369 47.75892)
XC40,YV4ED3UM5P,King,Kenmore,53033021600,WA,POINT (-122.24369 47.75892)
GRAND CHEROKEE,1C4RJYC60P,Cowlitz,Kelso,53015000901,WA,POINT (-122.89867 46.14424)
E-TRON,WA1LAAGE8P,King,Duvall,53033032402,WA,POINT (-121.98609 47.74068)
MODEL Y,5YJYGDEE8M,King,Auburn,53033029902,WA,POINT (-122.28802 47.30264)
ID.4,WVGTMPE26N,King,Seattle,53033009100,WA,POINT (-122.32945 47.60357)
BOLT EUV,1G1FZ6S02N,Clark,Washougal,53011040509,WA,POINT (-122.35341 45.57923)
MODEL S,5YJSA1E28J,Clark,Vancouver,53011040905,WA,POINT (-122.70303 45.70954)
MODEL Y,7SAYGDEE0T,King,Bellevue,53033024901,WA,POINT (-122.12096 47.55584)
XC90,YV4H60CL9N,King,Redmond,53033032321,WA,POINT (-122.13158 47.67858)
XC90,YV4BC0PM9H,King,Seattle,53033007002,WA,POINT (-122.34845 47.63283)
MODEL Y,7SAYGDEE8P,King,Kent,53033029507,WA,POINT (-122.19976 47.37483)
BLAZER,3GNKDBRJ7R,Clark,Vancouver,53011040904,WA,POINT (-122.70303 45.70954)
R1T,7FCTGAAA0P,Clark,Battle Ground,53011040416,WA,POINT (-122.5331 45.78092)
MODEL 3,5YJ3E1EA8R,King,Bothell,53033021905,WA,POINT (-122.20563 47.76144)
XC90,YV4BC0PM3G,King,Kirkland,53033022401,WA,POINT (-122.2066 47.67887)
SQ8,WA1DCBGE0R,King,Kirkland,53033022701,WA,POINT (-122.2066 47.67887)
VOLT,1G1RA6S50J,Thurston,Yelm,53067012531,WA,POINT (-122.60735 46.94239)
MODEL Y,7SAYGDEE4R,King,Sammamish,53033032225,WA,POINT (-122.02054 47.60326)
ID.4,WVGKMPE25N,King,Kent,53033029306,WA,POINT (-122.17743 47.41185)
C40,YV4ED3GB9N,King,Seattle,53033006800,WA,POINT (-122.36381 47.63046)
Q5 E,WA1E2AFY7L,Kitsap,Bainbridge Island,53035091002,WA,POINT (-122.521 47.62759)
I4,WBY43HD01S,Clark,Vancouver,53011040713,WA,POINT (-122.55149 45.69345)
R1T,7FCTGAAL0N,King,Seattle,53033004800,WA,POINT (-122.38591 47.67597)
TAYCAN,WP0AB2Y18L,King,Seattle,53033007303,WA,POINT (-122.34845 47.63283)
EV6,KNDC3DLC4P,King,Seattle,53033001600,WA,POINT (-122.37238 47.74068)
MODEL 3,5YJ3E1EB0J,King,Issaquah,53033032103,WA,POINT (-122.03439 47.5301)
MODEL Y,7SAYGDEE4P,King,Kent,53033029403,WA,POINT (-122.17743 47.41185)
MODEL X,5YJXCBE22H,King,Issaquah,53033025006,WA,POINT (-122.03439 47.5301)
RZ,JTJAAAAB2S,King,Seattle,53033012100,WA,POINT (-122.36322 47.49736)
XC40,YV4ED3UM1P,King,Seattle,53033001000,WA,POINT (-122.30253 47.72656)
MODEL Y,7SAYGDEE6P,Snohomish,Bothell,53061052009,WA,POINT (-122.20105 47.84423)
MODEL 3,5YJ3E1EA0S,Clark,Camas,53011040609,WA,POINT (-122.40177 45.58705)
I4,WBY83FB0XR,King,Duvall,53033032402,WA,POINT (-121.98609 47.74068)
SOLTERRA,JTMBDAFC8T,King,Kirkland,53033022702,WA,POINT (-122.2066 47.67887)
PRIUS PRIME (PHEV),JTDACACU4R,Kitsap,Port Orchard,53035092200,WA,POINT (-122.63848 47.5414)
MODEL 3,5YJ3E1EB3M,Clark,Ridgefield,53011040403,WA,POINT (-122.74595 45.81539)
AVIATOR,5LMYJ8XY0L,King,Pacific,53033030902,WA,POINT (-122.24692 47.26465)
MODEL 3,5YJ3E1EA2P,King,Bellevue,53033023300,WA,POINT (-122.11867 47.63131)
MODEL 3,5YJ3E1EA5J,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
MODEL Y,7SAYGDEE3T,King,Kenmore,53033022101,WA,POINT (-122.24369 47.75892)
MUSTANG MACH-E,3FMTK3SU0S,Kitsap,Bainbridge Island,53035091002,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EB6J,King,Kirkland,53033022402,WA,POINT (-122.2066 47.67887)
BLAZER,3GNKDBRJXR,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
IONIQ 5,7YAKRDDCXS,King,Seattle,53033001300,WA,POINT (-122.33364 47.73709)
MACAN,WP1AA2XA2T,King,Bellevue,53033023702,WA,POINT (-122.1621 47.64441)
MODEL 3,5YJ3E1EB1P,King,Bellevue,53033023701,WA,POINT (-122.1621 47.64441)
RAV4 PRIME (PHEV),JTMFB3FV3N,King,Seattle,53033004800,WA,POINT (-122.35436 47.67596)
VOLT,1G1RD6S56G,Kitsap,Bainbridge Island,53035090902,WA,POINT (-122.521 47.62759)
SOLTERRA,JTMABABAXP,King,Shoreline,53033021100,WA,POINT (-122.30304 47.75494)
EV9,5XYAEFS55T,King,Kirkland,53033022702,WA,POINT (-122.2066 47.67887)
MODEL Y,7SAYGDEE3T,King,Kent,53033031704,WA,POINT (-122.10798 47.37124)
BZ4X,JTMABACA1S,King,Renton,53033025304,WA,POINT (-122.18839 47.51197)
TRAILSEEKER,JTMBGAHC9T,Clark,Vancouver,53011041336,WA,POINT (-122.48723 45.63701)
EV6,KNDC34LA8R,King,Burien,53033027800,WA,POINT (-122.34731 47.45207)
MODEL Y,7SAYGDED9R,Clark,Vancouver,53011042800,WA,POINT (-122.62934 45.63201)
GRAND CHEROKEE,1C4RJYB66P,King,Seattle,53033012000,WA,POINT (-122.36322 47.49736)
MODEL X,5YJXCBE20L,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
SANTA FE,KM8S7DA29P,Snohomish,Lynnwood,53061051602,WA,POINT (-122.27734 47.83785)
EV9,KNDAEFS52R,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
S-CLASS,W1K6G6KB2R,King,Bellevue,53033023807,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EAXL,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
MODEL Y,7SAYGDEE2T,King,Seattle,53033002700,WA,POINT (-122.35436 47.67596)
MODEL Y,7SAYGDEE1T,King,Kent,53033031704,WA,POINT (-122.10798 47.37124)
MODEL 3,5YJ3E1EB6M,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
B-CLASS,WDDVP9AB7E,King,Kirkland,53033022006,WA,POINT (-122.22901 47.72201)
IX,WB523CF00N,Kitsap,Silverdale,53035091302,WA,POINT (-122.69275 47.65171)
WRANGLER,1C4RJXU66R,Clark,Camas,53011040605,WA,POINT (-122.40177 45.58705)
KONA,KM8HE3A65R,King,Seattle,53033000602,WA,POINT (-122.33364 47.73709)
BOLT EUV,1G1FZ6S06N,King,Seattle,53033006200,WA,POINT (-122.30207 47.64085)
MODEL S,5YJSA1E22H,King,Redmond,53033022902,WA,POINT (-122.13158 47.67858)
MODEL 3,5YJ3E1EB3R,Snohomish,Lynnwood,53061041816,WA,POINT (-122.27981 47.85727)
MODEL 3,5YJ3E1EB0M,Snohomish,Lake Stevens,53061053505,WA,POINT (-122.06402 48.01497)
R1S,7PDSGCBA7T,King,Kirkland,53033022203,WA,POINT (-122.22901 47.72201)
RAV4 PRIME (PHEV),JTMFB3FV3M,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
POLESTAR 2,LPSED3KA0N,King,Lake Forest Park,53033021400,WA,POINT (-122.30304 47.75494)
