Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
LEAF,1N4AZ0CP9F,Skagit,Anacortes,53057940500,WA,POINT (-122.61216 48.51749)
NX,JTJHKCFZ8R,Walla Walla,Walla Walla,53071920902,WA,POINT (-118.34261 46.07068)
A3,WAUUPBFF0G,King,Renton,53033025803,WA,POINT (-122.08747 47.4466)
NX,JTJHKCFZ6S,Thurston,Olympia,53067012332,WA,POINT (-122.80933 46.99531)
LEAF,1N4BZ0CP8H,King,Shoreline,53033021300,WA,POINT (-122.30304 47.75494)
A3,WAUUPBFF5H,King,Seattle,53033003301,WA,POINT (-122.38591 47.67597)
EV6,KNDC4DLC5P,Snohomish,Mill Creek,53061052004,WA,POINT (-122.20105 47.84423)
MODEL Y,5YJYGDEF2L,Thurston,Yelm,53067012421,WA,POINT (-122.60735 46.94239)
MODEL Y,5YJYGDEE8L,Snohomish,Monroe,53061052203,WA,POINT (-121.98087 47.8526)
MODEL 3,5YJ3E1EA2J,King,Duvall,53033032402,WA,POINT (-121.98609 47.74068)
MODEL X,5YJXCBE24K,King,Tukwila,53033026200,WA,POINT (-122.27979 47.44952)
LEAF,JN1AZ0CP5B,Snohomish,Woodinville,53061051926,WA,POINT (-122.15545 47.75448)
A3,WAUUPBFFXJ,King,Seattle,53033006300,WA,POINT (-122.30207 47.64085)
NIRO,KNDCR3LF8P,Snohomish,Monroe,53061052203,WA,POINT (-121.98087 47.8526)
MODEL S,5YJSA1E28F,Snohomish,Mill Creek,53061052008,WA,POINT (-122.20105 47.84423)
LEAF,1N4AZ1CP3K,Island,Coupeville,53029971100,WA,POINT (-122.68558 48.21857)
MODEL 3,5YJ3E1EB8L,Yakima,Yakima,53077000600,WA,POINT (-120.51904 46.59782)
EV6,KNDC44LA4N,Thurston,Lacey,53067012221,WA,POINT (-122.78598 47.08476)
LEAF,1N4AZ0CP3D,Thurston,Lacey,53067011422,WA,POINT (-122.82324 47.04437)
MODEL 3,5YJ3E1EA2T,Snohomish,Bothell,53061052010,WA,POINT (-122.20105 47.84423)
PRIUS,JTDKN3DP1D,Thurston,Olympia,53067012331,WA,POINT (-122.80933 46.99531)
F-150,1FTVW1EL2P,Whitman,Pullman,53075000300,WA,POINT (-117.18147 46.73015)
